Appointment Year,Semester,Stipend Type,Account,OBJ,School Name,PID,Program Code,Program Name,Work Hours,Fall Offer Amount
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P000939802,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P001107695,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P001160697,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P001204621,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-100070-1271-72-706110,706110,Arts & Sciences,P100098733,PH2517,Biological Sciences,2,2500
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100098733,PH2517,Biological Sciences,15,7521
2018,FALL,RA,11270-10-1132787-706110,706110,Arts & Sciences,P100119182,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100124589,MS2517,Biological Sciences,15,5936
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100134111,PH2517,Biological Sciences,15,7167
2018,FALL,RA,11124-10-1120467-706110,706110,Arts & Sciences,P100136156,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100137236,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100137768,PH2517,Biological Sciences,15,8168
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100138818,PH2517,Biological Sciences,15,7521
2018,FALL,RA,11144-10-1130886-706110,706110,Arts & Sciences,P100171580,PH2517,Biological Sciences,15,3601
2018,FALL,RA,12086-20-4100002-706110,706110,Arts & Sciences,P100171580,PH2517,Biological Sciences,15,3920
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100175233,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100176172,PH2517,Biological Sciences,15,7167
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100178287,PH2517,Biological Sciences,15,7167
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100180406,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100181373,PH2517,Biological Sciences,15,7167
2018,FALL,RA,11103-10-1119195-706110,706110,Arts & Sciences,P100214612,PH2517,Biological Sciences,15,7521
2018,FALL,RA,12441-13-4100001-706110,706110,Arts & Sciences,P100215255,PH2517,Biological Sciences,15,7521
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100218034,PH2517,Biological Sciences,15,7167
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100234804,MS2517,Biological Sciences,15,10021
2018,FALL,TA,10-100000-100070-1277-40-706110,706110,Arts & Sciences,P100234804,MS2517,Biological Sciences,2,10021
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100246208,PH2517,Biological Sciences,15,7167
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100248790,PH2517,Biological Sciences,15,7167
2018,FALL,TA,10-100000-250315-0000-72-706110,706110,Arts & Sciences,P100270257,PH2517,Biological Sciences,15,7167
